Series,Part Number,Name,USD Catalogue,USD Price,CAD Catalogue,CAD Price,Categories,Arm Type,Base Type,Back Material,Back Height,Tilter Prop,Images
Graphic,2737,"Upholstered Posture Back, Armles",GUS,815,GLS,697,Task Seating,With Arms,,Upholstered Back,    ,    ,TRUE
Graphic,2738,"Nylon Posture Back, Armless",GUS,815,GLS,724,Task Seating,Armless,,    ,    ,    ,TRUE
Graphic,2738MB,"Mesh Posture Back, Armless",GUS,899,GLS,829,Task Seating,Armless,,Mesh Back,    ,    ,TRUE
Graphic,2739,"Upholstered Posture Back, Armles",GUS,899,GLS,794,Task Seating,With Arms,,Upholstered Back,    ,    ,TRUE
Graphic,2748,Nylon Posture Back Stool,GUS,1028,GLS,966,Stools,With Arms,,    ,    ,    ,TRUE
Synopsis,5080-0,High Back Synchro-Tilter,GUS,1203,GLS,1129,Task Seating,With Arms,,    ,High Back,Synchro-Tilter,TRUE
Synopsis,5080-3,High Back Multi-Tilter ,GUS,1203,GLS,1129,Task Seating,With Arms,,    ,High Back,Multi-Tilter,TRUE
Synopsis,5081-0,Medium Back Synchro-Tilter,GUS,1088,GLS,1073,Task Seating,With Arms,,    ,Medium Back,Synchro-Tilter,TRUE
Synopsis,5081-3,Medium Back Multi-Tilter,GUS,1088,GLS,1073,Task Seating,With Arms,,    ,Medium Back,Multi-Tilter,TRUE
Synopsis,5090-4,High Back Tilter,GUS,752,GLS,814,Task Seating,With Arms,,    ,High Back,Tilter,TRUE
Synopsis,5091-4,Medium Back Tilter,GUS,705,GLS,780,Task Seating,With Arms,,    ,Medium Back,Tilter,TRUE
Synopsis,5092,Armchair ,GUS,715,GLS,734,Side Chair,With Arms,,    ,    ,    ,TRUE
Synopsis,5090-4PB,"High Back Tilter, Pedestal Base ",GUS,983,GLS,1023,Pedestal,With Arms,Pedestal Base,    ,High Back,Tilter,TRUE
Synopsis,5091-4PB,"Medium Back Tilter, Pedestal Base",GUS,937,GLS,987,Pedestal,With Arms,Pedestal Base,    ,Medium Back,Tilter,TRUE
Tritek Ergo Select,7471-3,"Extended High Back Multi-Tilter, Small Seat ",,,GLS,1317,Task Seating,With Arms,,    ,Extended High Back,Multi-Tilter,TRUE
Tritek Ergo Select,7472-3,"Extended High Back Multi-Tilter, Standard Seat",,,GLS,1317,Task Seating,With Arms,,    ,Extended High Back,Multi-Tilter,TRUE
Tritek Ergo Select,7473-3,"Extended High Back Multi-Tilter, Generous Seat",,,GLS,1317,Task Seating,With Arms,,    ,Extended High Back,Multi-Tilter,TRUE
Tritek Ergo Select,7481-3,"High Back Multi-Tilter, Small Seat",,,GLS,1281,Task Seating,With Arms,,    ,High Back,Multi-Tilter,TRUE
Tritek Ergo Select,7482-3,"High Back Multi-Tilter, Standard Seat",,,GLS,1281,Task Seating,With Arms,,    ,High Back,Multi-Tilter,TRUE
Tritek Ergo Select,7483-3,"High Back Multi-Tilter, Generous Seat",,,GLS,1281,Task Seating,With Arms,,    ,High Back,Multi-Tilter,TRUE
Tritek Ergo Select,7491-3,"Medium Back Multi-Tilter, Small Seat",,,GLS,1242,Task Seating,With Arms,,    ,Medium Back,Multi-Tilter,TRUE
Tritek Ergo Select,7492-3,"Medium Back Multi-Tilter, Standard Seat",,,GLS,1242,Task Seating,With Arms,,    ,Medium Back,Multi-Tilter,TRUE
Tritek Ergo Select,7493-3,"Medium Back Multi-Tilter, Generous Seat",,,GLS,1242,Task Seating,With Arms,,    ,Medium Back,Multi-Tilter,TRUE
Auburn,3767,High Back Tilter,GUS,1745,GLS,1394,Task Seating,With Arms,,    ,High Back,Tilter,TRUE
Arturo,3991,Extended High Back Tilter,GUS,1539,GLS,1407,Task Seating,With Arms,,    ,Extended High Back,Tilter,TRUE
Arturo,3992,High Back Tilter ,GUS,1424,GLS,1347,Task Seating,With Arms,,    ,High Back,Tilter,TRUE
Arturo,3993,Low Back Tilter,GUS,1370,GLS,1300,Task Seating,With Arms,,    ,Low Back,Tilter,TRUE
Concorde,2400-18,High Back Executive Multi-Tilter,GUS,4273,GLS,3392,Task Seating,With Arms,,    ,High Back,Multi-Tilter,TRUE
Concorde,2409,High Back Presidential Synchro-Tilter,GUS,7009,GLS,4567,Task Seating,With Arms,,    ,High Back,Synchro-Tilter,TRUE
Concorde,2424,High Back 24HR Executive Synchro-Tilter,GUS,3199,GLS,2716,Task Seating,With Arms,,    ,High Back,Synchro-Tilter,TRUE
Concorde,2424-18,"High Back 24HR Executive Synchro-Tilter, Deep Seat",GUS,3251,GLS,2716,Task Seating,With Arms,,    ,High Back,Synchro-Tilter,TRUE
Solo,5225,Armchair ,GUS,427,GLS,328,Side Chair,With Arms,,    ,    ,    ,TRUE
Solo,5227,High Back Tilter,GUS,629,GLS,468,Task Seating,With Arms,,    ,High Back,Tilter,TRUE
Solo,5228,Low Back Tilter,GUS,565,GLS,427,Task Seating,With Arms,,    ,Low Back,Tilter,TRUE
Enterprise,4560,High Back Tilter,GUS,694,GLS,775,Side Chair,With Arms,,    ,High Back,Tilter,TRUE
Enterprise,4561,Medium Back Tilter,GUS,663,GLS,743,Side Chair,With Arms,,    ,Medium Back,Tilter,TRUE
Enterprise,4565,Cantilever Armchair,GUS,663,GLS,698,Side Chair,With Arms,,    ,    ,    ,TRUE
Enterprise,4570-3,High Back Multi-Tilter,GUS,1269,GLS,1129,Task Seating,With Arms,,    ,High Back,Multi-Tilter,TRUE
Enterprise,4571-3,Medium Back Multi-Tilter,GUS,1142,GLS,1073,Task Seating,With Arms,,    ,Medium Back,Multi-Tilter,TRUE
